ID_Number,Displacement
9,12.9
10,16.3987
12,17.395
13,16.9247
16,15.176
19,16.7152
24,15.7456
25,17.5021
30,15.2552
32,17.3466
37,14.933
42,14.8978
44,16.3238
45,14.8178
49,14.7135
58,14.5144
61,12.0748
66,17.5385
68,16.1577
69,15.5387
72,16.274
74,15.1785
76,16.3584
78,17.0181
81,18.2948
82,16.5919
133,16.2736
167,15.5595
170,16.7002
181,16.1127
212,14.5334
223,15.9463
227,16.1175
238,16.8575
241,15.1878
245,16.5231
247,15.3611
252,16.4909
253,16.3207
258,16.6049
261,15.5959
265,16.5854
271,11.2119
275,15.3021
277,17.053
288,13.8435
289,16.5816
307,11.1936
311,12.5122
313,16.1214
320,15.8492
321,16.1423
335,14.1664
345,16.9717
363,14.7215
369,16.2175
375,15.1593
376,14.4327
378,15.8069
379,11.0112
380,15.8275
381,14.2789
383,16.8772
384,14.0854
385,16.8244
387,16.3203
388,15.3637
389,16.4675
392,15.0498
395,15.523
396,15.2899
399,15.2745
400,14.7016
403,16.3659
404,15.5519
405,13.2573
406,15.9843
407,14.2736
411,15.8259
414,14.8684
415,17.5797
417,15.4209
424,12.8638
426,13.5894
427,14.426
428,17.3296
431,16.4326
432,11.0109
436,16.706
446,12.2984
448,16.8377
449,15.0949
450,16.0092
454,16.704
456,16.5646
460,16.3215
464,16.3746
465,15.2432
467,15.2826
469,15.9488
471,16.367
472,13.6604
473,14.3429
474,15.816
476,18.0609
477,16.422
480,18.0514
482,15.1984
483,16.0987
484,17.0997
488,15.7715
489,16.2456
493,15.3926
495,15.2583
499,14.7501
501,15.3581
502,13.011
503,14.6721
507,14.9863
508,17.0932
514,16.6015
517,14.6731
518,16.1707
520,16.543
526,16.2466
530,16.7748
535,16.6399
538,16.2066
540,16.7004
544,16.2426
548,15.8522
550,16.0324
551,16.4194
552,16.2514
554,16.6299
556,15.7394
559,15.3014
560,16.1224
563,16.3989
564,16.5412
568,16.2882
571,17.0907
574,15.6363
576,17.1237
578,16.6304
580,17.1707
582,17.1403
588,16.966
591,17.0618
593,15.5821
596,16.7143
597,15.2089
600,16.783
604,16.794
606,16.1972
608,16.5022
609,15.8069
612,17.407
614,15.0381
615,15.2065
616,16.9386
619,16.2759
620,16.1912
621,15.8604
623,15.1661
624,15.7592
626,16.2209
627,15.7538
628,16.714
629,16.9886
630,16.0961
631,16.3335
632,16.9004
634,17.5067
636,17.0077
637,16.7912
639,15.0935
642,15.5295
646,15.9064
656,14.2173
660,16.5188
671,14.526
676,16.7862
679,16.2377
709,17.2287
711,16.9528
715,16.9094
717,14.2879
719,16.5717
720,16.9297
722,16.6949
723,16.9035
724,17.2097
728,16.7849
729,13.3583
734,16.4746
735,16.8241
742,16.885
744,16.0124
747,16.7377
751,17.3044
752,11.9448
753,16.8373
755,16.7964
757,16.935
759,16.8526
761,16.0798
762,14.8191
763,17.0115
765,14.0145
766,16.1654
769,16.4697
770,14.3442
771,16.1418
773,16.3454
774,15.0441
778,13.7685
779,16.0837
782,16.2889
783,13.0647
785,16.4607
786,15.9386
789,13.527
795,15.047
796,16.4296
798,15.2916
799,16.2314
801,16.1466
802,14.9954
803,16.3691
806,16.2561
807,15.255
809,15.9301
812,15.7794
813,16.0048
815,16.7317
816,15.7188
821,16.838
822,15.2572
823,15.8786
825,16.2709
826,15.2555
827,16.212
830,15.3988
831,15.319
833,15.835
835,16.7783
840,14.4017
841,15.1742
842,15.686
844,14.7381
845,16.9489
850,14.4339
851,15.9419
852,15.7537
856,14.974
913,15.5667
916,15.4031
917,14.0832
921,15.2743
922,14.116
924,16.3064
942,16.0707
945,15.6594
947,15.3633
948,16.266
950,16.0922
951,14.4619
955,14.6023
956,13.9355
957,15.2627
959,15.426
960,17.0076
964,15.2216
969,14.7755
978,15.1747
983,14.1026
984,16.28
989,13.4456
992,14.0679
998,14.7135
1003,15.2552
1010,14.8962
1011,15.4335
1019,14.2146
1023,15.7639
1024,16.3932
1027,15.7661
1031,16.749
1033,13.9847
1036,15.2893
1037,13.7801
1040,14.5565
1041,14.0492
1047,16.0082
1049,14.5875
1051,14.1827
1054,13.8027
1058,13.8042
1061,13.693
1063,16.0713
1064,16.5633
1068,17.3323
1069,15.3602
1073,15.5367
1075,14.5594
1076,15.8773
1077,15.2405
1079,16.8819
1081,15.8562
1082,16.9568
1085,16.4321
1086,14.9172
1096,16.2116
1099,16.175
1101,14.2018
1121,15.7567
1125,16.7421
