ID_Number,c4_base,c8_base,c4_top,c8_top,twist_linear,twist_amplitude,twist_period,perimeter_ratio,height,mass,thickness,material
9,0,0.5,0,0.5,0,0,0,1,19,3.3,0.945992432060544,Armadillo
10,0,0.5,0,0.5,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
12,0,0.5,0,0.5,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
13,0,0.5,0,0.5,0,0,0,1,19,3.3,0.581272458254069,Cheetah
16,0,0.279800207622035,0,0.564200253760264,4.71238898038469,0,0,1,19,3.3,0.945992432060544,Armadillo
19,0,0.5,0,0.5,0,0,0,1,19,3.3,0.598086124401914,Cheetah
24,0,0.5,0,0.5,0,0,0,1,19,3.3,0.692520775623269,NinjaFlex
25,0,0.5,0,0.5,0,0,0,1,19,3.3,0.497377464279255,NinjaFlex
30,0.56880009227646,-0.288999884654425,0.142200023069115,-0.43119990772354,2.35619449019234,0,0,1,19,3.3,0.945992432060544,Armadillo
32,0,0.807484327940525,0.112967770496283,0.694516557444242,0.785398163397448,0,0,1,19,3.3,0.581272458254069,Cheetah
37,1.13760018455292,0.564200253760264,0.56880009227646,0.564200253760264,2.74889357189107,0,0,1,19,3.3,0.945992432060544,Armadillo
42,0.0749451270244077,0.9485733026346,0.0749451270244077,0.836155612097988,3.14159265358979,0,0,1,19,3.3,0.530171582803162,Armadillo
44,0.0896214806021354,0.702808131440574,0.179242961204271,0.882051092644845,0.785398163397448,0,0,1,19,3.3,0.692520775623269,NinjaFlex
45,0.426600069207345,0.422000230691149,0.426600069207345,0.422000230691149,2.74889357189107,0,0,1,19,3.3,0.945992432060544,Armadillo
49,1.13760018455292,0.422000230691149,0.853200138414689,-0.00459983851619539,0.392699081698724,0,0,1,19,3.3,0.945992432060544,Armadillo
58,0.268864441806406,-0.462271116387187,0,0.971672573246981,1.5707963267949,0,0,1,19,3.3,0.692520775623269,NinjaFlex
